ageGroup,virus,u_death,u_incubation,disability_weighting,u_death_natural
0-5,wuhan,3.63698873591041E-06,0.216919739696312,0.133,2.97029315068493E-05
5-10,wuhan,5.89897183364432E-06,0.216919739696312,0.133,2.97029315068493E-05
10-15,wuhan,9.55565010233432E-06,0.216919739696312,0.133,2.97029315068493E-05
15-20,wuhan,1.57487699875301E-05,0.216919739696312,0.133,2.97029315068493E-05
20-25,wuhan,2.55179178714952E-05,0.216919739696312,0.133,2.97029315068493E-05
25-30,wuhan,4.13291724639412E-05,0.216919739696312,0.133,2.97029315068493E-05
30-35,wuhan,6.70296775566686E-05,0.216919739696312,0.133,2.97029315068493E-05
35-40,wuhan,0.000109034019895423,0.216919739696312,0.133,2.97029315068493E-05
40-45,wuhan,0.000177996274692532,0.216919739696312,0.133,2.97029315068493E-05
45-50,wuhan,0.000288850298947533,0.216919739696312,0.133,2.97029315068493E-05
50-55,wuhan,0.000464777546591402,0.216919739696312,0.133,2.97029315068493E-05
55-60,wuhan,0.000742413398975928,0.216919739696312,0.133,2.97029315068493E-05
60-65,wuhan,0.00118191619426013,0.216919739696312,0.133,2.97029315068493E-05
65-70,wuhan,0.00187175215418704,0.216919739696312,0.133,2.97029315068493E-05
70-75,wuhan,0.00285010591640652,0.216919739696312,0.133,2.97029315068493E-05
75+,wuhan,0.00587820479091361,0.216919739696312,0.133,2.97029315068493E-05
0-5,alpha,3.63698873591041E-06,0.201612903225806,0.133,2.97029315068493E-05
5-10,alpha,5.89897183364432E-06,0.201612903225806,0.133,2.97029315068493E-05
10-15,alpha,9.55565010233432E-06,0.201612903225806,0.133,2.97029315068493E-05
15-20,alpha,1.57487699875301E-05,0.201612903225806,0.133,2.97029315068493E-05
20-25,alpha,2.55179178714952E-05,0.201612903225806,0.133,2.97029315068493E-05
25-30,alpha,4.13291724639412E-05,0.201612903225806,0.133,2.97029315068493E-05
30-35,alpha,6.70296775566686E-05,0.201612903225806,0.133,2.97029315068493E-05
35-40,alpha,0.000109034019895423,0.201612903225806,0.133,2.97029315068493E-05
40-45,alpha,0.000177996274692532,0.201612903225806,0.133,2.97029315068493E-05
45-50,alpha,0.000288850298947533,0.201612903225806,0.133,2.97029315068493E-05
50-55,alpha,0.000464777546591402,0.201612903225806,0.133,2.97029315068493E-05
55-60,alpha,0.000742413398975928,0.201612903225806,0.133,2.97029315068493E-05
60-65,alpha,0.00118191619426013,0.201612903225806,0.133,2.97029315068493E-05
65-70,alpha,0.00187175215418704,0.201612903225806,0.133,2.97029315068493E-05
70-75,alpha,0.00285010591640652,0.201612903225806,0.133,2.97029315068493E-05
75+,alpha,0.00587820479091361,0.201612903225806,0.133,2.97029315068493E-05
0-5,delta,3.63698873591041E-06,0.225733634311512,0.133,2.97029315068493E-05
5-10,delta,5.89897183364432E-06,0.225733634311512,0.133,2.97029315068493E-05
10-15,delta,9.55565010233432E-06,0.225733634311512,0.133,2.97029315068493E-05
15-20,delta,1.57487699875301E-05,0.225733634311512,0.133,2.97029315068493E-05
20-25,delta,2.55179178714952E-05,0.225733634311512,0.133,2.97029315068493E-05
25-30,delta,4.13291724639412E-05,0.225733634311512,0.133,2.97029315068493E-05
30-35,delta,6.70296775566686E-05,0.225733634311512,0.133,2.97029315068493E-05
35-40,delta,0.000109034019895423,0.225733634311512,0.133,2.97029315068493E-05
40-45,delta,0.000177996274692532,0.225733634311512,0.133,2.97029315068493E-05
45-50,delta,0.000288850298947533,0.225733634311512,0.133,2.97029315068493E-05
50-55,delta,0.000464777546591402,0.225733634311512,0.133,2.97029315068493E-05
55-60,delta,0.000742413398975928,0.225733634311512,0.133,2.97029315068493E-05
60-65,delta,0.00118191619426013,0.225733634311512,0.133,2.97029315068493E-05
65-70,delta,0.00187175215418704,0.225733634311512,0.133,2.97029315068493E-05
70-75,delta,0.00285010591640652,0.225733634311512,0.133,2.97029315068493E-05
75+,delta,0.00587820479091361,0.225733634311512,0.133,2.97029315068493E-05
0-5,omicron,3.63698873591041E-06,0.277008310249308,0.133,2.97029315068493E-05
5-10,omicron,5.89897183364432E-06,0.277008310249308,0.133,2.97029315068493E-05
10-15,omicron,9.55565010233432E-06,0.277008310249308,0.133,2.97029315068493E-05
15-20,omicron,1.57487699875301E-05,0.277008310249308,0.133,2.97029315068493E-05
20-25,omicron,2.55179178714952E-05,0.277008310249308,0.133,2.97029315068493E-05
25-30,omicron,4.13291724639412E-05,0.277008310249308,0.133,2.97029315068493E-05
30-35,omicron,6.70296775566686E-05,0.277008310249308,0.133,2.97029315068493E-05
35-40,omicron,0.000109034019895423,0.277008310249308,0.133,2.97029315068493E-05
40-45,omicron,0.000177996274692532,0.277008310249308,0.133,2.97029315068493E-05
45-50,omicron,0.000288850298947533,0.277008310249308,0.133,2.97029315068493E-05
50-55,omicron,0.000464777546591402,0.277008310249308,0.133,2.97029315068493E-05
55-60,omicron,0.000742413398975928,0.277008310249308,0.133,2.97029315068493E-05
60-65,omicron,0.00118191619426013,0.277008310249308,0.133,2.97029315068493E-05
65-70,omicron,0.00187175215418704,0.277008310249308,0.133,2.97029315068493E-05
70-75,omicron,0.00285010591640652,0.277008310249308,0.133,2.97029315068493E-05
75+,omicron,0.00587820479091361,0.277008310249308,0.133,2.97029315068493E-05
