time,actual
69,0.0027
76,0.0025
83,0.0024
89,0.001
97,0.0006
103,0.0006
111,0.0009
117,0.0004
125,0.0003
136,0.0004
143,0.0005
150,0.0007
157,0.0005
164,0.0005
168,0.0005
175,0.0005
180,0.0005
191,0.0007
196,0.0011
205,0.0019
210,0.0021
217,0.0041
224,0.0062
232,0.0079
239,0.0104
247,0.0113
253,0.012
261,0.0122
268,0.0116
275,0.0096
282,0.0088
289,0.0104
295,0.0118
300,0.0147
310,0.0206
317,0.0208
324,0.0188
331,0.0187
338,0.0155
345,0.0128
351,0.0088
358,0.0069
366,0.0045
373,0.0037
380,0.0029
387,0.003
394,0.0027
401,0.003
408,0.0021
414,0.0017
422,0.001
430,0.0008
436,0.0007
443,0.0009
450,0.0009
457,0.0016
464,0.0018
471,0.0019
478,0.0022
485,0.0039
492,0.0061
499,0.0106
506,0.0136
513,0.0157
520,0.0132
526,0.0133
534,0.0128
540,0.0139
547,0.0141
554,0.0138
562,0.0128
569,0.0114
576,0.0121
583,0.0144
590,0.0163
597,0.0179
603,0.0202
611,0.0202
618,0.017
625,0.0151
632,0.0158
639,0.0165
643,0.0164
653,0.0172
658,0.0221
661,0.0283
665,0.0371
673,0.06
679,0.0685
688,0.0547
695,0.0482
702,0.0483
709,0.0518
716,0.0449
723,0.0384
730,0.0355
737,0.038
744,0.0487
751,0.0639
758,0.0756
765,0.076
772,0.0692
779,0.059
786,0.0442
793,0.0291
800,0.0221
806,0.019
814,0.016
820,0.0144
826,0.0146
835,0.0207
842,0.025
848,0.0335
853,0.0395
860,0.0527
867,0.0577
874,0.0483
880,0.0386
891,0.0263
901,0.0222
908,0.0164
913,0.0141
921,0.0129
930,0.0141
933,0.0157
940,0.0203
949,0.0278
956,0.0313
963,0.0321
970,0.0292
978,0.0243
985,0.0173
992,0.0148
998,0.016
1003,0.0173
1012,0.0201
1016,0.022
1035,0.0452
1041,0.0402
1048,0.0261
1055,0.0162
1062,0.0142
1069,0.0156
1076,0.0188
1083,0.0218
1090,0.0231
1097,0.0238
1104,0.0236
1110,0.0266
