virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,-360,0,1,2,100000
2,-360,0,1,7136,100000
3,-360,0,1,4261,100000
4,-360,0,1,6368,100000
1,-330,0,1,2,100000
2,-330,0,1,7093,100000
3,-330,0,1,4265,100000
4,-330,0,1,6194,100000
1,-300,0,1,3,100000
2,-300,0,1,6964,100000
3,-300,0,1,4385,100000
4,-300,0,1,6170,100000
1,-270,0,1,6,100000
2,-270,0,1,7063,100000
3,-270,0,1,4463,100000
4,-270,0,1,6394,100000
1,-240,0,1,1,100000
2,-240,0,1,7000,100000
3,-240,0,1,4315,100000
4,-240,0,1,6412,100000
1,-210,0,1,4,100000
2,-210,0,1,7017,100000
3,-210,0,1,4280,100000
4,-210,0,1,6310,100000
1,-180,0,1,4,100000
2,-180,0,1,6929,100000
3,-180,0,1,4341,100000
4,-120,0.08333333333333333,10,6282,100000
1,-90,0.08333333333333333,10,1,100000
2,-90,0.08333333333333333,10,7006,100000
3,-90,0.08333333333333333,10,4091,100000
4,-90,0.08333333333333333,10,6219,100000
1,-60,0.08333333333333333,10,3,100000
2,-60,0.08333333333333333,10,6876,100000
3,-60,0.08333333333333333,10,4229,100000
4,-60,0.08333333333333333,10,6254,100000
1,-30,0.08333333333333333,10,1,100000
2,-30,0.08333333333333333,10,6746,100000
3,-30,0.08333333333333333,10,4093,100000
4,-30,0.08333333333333333,10,6092,100000
1,0,0.08333333333333333,10,2,100000
2,0,0.08333333333333333,10,6615,100000
3,0,0.08333333333333333,10,4106,100000
4,0,0.08333333333333333,10,6144,100000
1,30,0.08333333333333333,10,2,100000
2,30,0.08333333333333333,10,6988,100000
3,30,0.08333333333333333,10,4257,100000
4,30,0.08333333333333333,10,6013,100000
1,60,0.08333333333333333,10,2,100000
2,60,0.08333333333333333,10,6924,100000
3,60,0.08333333333333333,10,4129,100000
4,60,0.08333333333333333,10,6251,100000
1,90,0.08333333333333333,10,4,100000
2,90,0.08333333333333333,11,6880,100000
3,90,0.08333333333333333,11,4288,100000
4,90,0.08333333333333333,11,6461,100000
1,120,0.08333333333333333,11,2,100000
2,120,0.08333333333333333,11,6897,100000
3,120,0.08333333333333333,11,4183,100000
4,120,0.08333333333333333,11,6317,100000
1,150,0.08333333333333333,11,3,100000
2,150,0.08333333333333333,11,6999,100000
3,150,0.08333333333333333,11,4267,100000
4,150,0.08333333333333333,11,6260,100000
1,180,0.08333333333333333,11,3,100000
2,180,0.08333333333333333,11,7108,100000
3,180,0.08333333333333333,11,4325,100000
4,180,0.08333333333333333,11,6304,100000
1,210,0.08333333333333333,11,3,100000
2,210,0.08333333333333333,11,7137,100000
3,210,0.08333333333333333,11,4285,100000
4,210,0.08333333333333333,11,6379,100000
1,240,0.08333333333333333,11,7,100000
2,240,0.08333333333333333,11,7079,100000
3,240,0.08333333333333333,11,4388,100000
4,240,0.08333333333333333,11,6383,100000
1,270,0.08333333333333333,11,1,100000
2,270,0.08333333333333333,11,7002,100000
3,270,0.08333333333333333,11,4351,100000
4,270,0.08333333333333333,12,6352,100000
1,300,0.08333333333333333,12,4,100000
2,300,0.08333333333333333,12,7107,100000
3,300,0.08333333333333333,12,4272,100000
4,300,0.08333333333333333,12,6378,100000
1,330,0.08333333333333333,12,1,100000
2,330,0.08333333333333333,12,7159,100000
3,330,0.08333333333333333,12,4364,100000
4,330,0.08333333333333333,12,6378,100000
1,360,0.08333333333333333,12,0,100000
2,360,0.08333333333333333,12,7109,100000
3,360,0.08333333333333333,12,4315,100000
4,360,0.08333333333333333,12,6450,100000
1,-360,0.125,12,4,100000
2,-360,0.125,12,6971,100000
3,-360,0.125,12,4299,100000
4,-360,0.125,12,6202,100000
1,-330,0.125,12,3,100000
2,-330,0.125,12,7014,100000
3,-330,0.125,12,4320,100000
4,-330,0.125,12,6323,100000
1,-300,0.125,12,1,100000
2,-300,0.125,12,7074,100000
3,-300,0.125,12,4440,100000
4,-300,0.125,12,6415,100000
1,-270,0.125,12,1,100000
2,-270,0.125,13,6935,100000
3,-270,0.125,13,4333,100000
4,-270,0.125,13,6230,100000
1,-240,0.125,13,6,100000
2,-240,0.125,13,6979,100000
3,-240,0.125,13,4195,100000
4,-240,0.125,13,6262,100000
1,-210,0.125,13,4,100000
2,-210,0.125,13,6935,100000
3,-210,0.125,13,4298,100000
4,-210,0.125,13,6222,100000
1,-180,0.125,13,3,100000
2,-180,0.125,13,7058,100000
3,-180,0.125,13,4279,100000
4,-180,0.125,13,6294,100000
1,-150,0.125,13,3,100000
2,-150,0.125,13,6913,100000
3,-150,0.125,13,4222,100000
4,-150,0.125,13,6170,100000
1,-120,0.125,13,3,100000
2,-120,0.125,13,6818,100000
3,-120,0.125,13,4179,100000
4,-120,0.125,13,6179,100000
1,-90,0.125,13,3,100000
2,-90,0.125,13,6891,100000
3,-90,0.125,13,4229,100000
4,-90,0.125,14,6175,100000
1,-60,0.125,14,1,100000
2,-60,0.125,14,6796,100000
3,-60,0.125,14,4236,100000
4,-60,0.125,14,6235,100000
1,-30,0.125,14,1,100000
2,-30,0.125,14,6480,100000
3,-30,0.125,14,4090,100000
4,-30,0.125,14,6066,100000
1,0,0.125,14,4,100000
2,0,0.125,14,6559,100000
3,0,0.125,14,4121,100000
4,0,0.125,14,6003,100000
1,30,0.125,14,1,100000
2,30,0.125,14,6769,100000
3,30,0.125,14,4048,100000
4,30,0.125,14,6262,100000
1,60,0.125,14,2,100000
2,60,0.125,14,6777,100000
3,60,0.125,14,4243,100000
4,60,0.125,14,6295,100000
1,90,0.125,14,3,100000
2,90,0.125,14,6830,100000
3,90,0.125,14,4116,100000
4,90,0.125,14,6104,100000
1,120,0.125,14,1,100000
2,120,0.125,15,6977,100000
3,120,0.125,15,4250,100000
4,120,0.125,15,6134,100000
1,150,0.125,15,1,100000
2,150,0.125,15,6894,100000
3,150,0.125,15,4206,100000
4,150,0.125,15,6230,100000
1,180,0.125,15,3,100000
2,180,0.125,15,6984,100000
3,180,0.125,15,4252,100000
4,180,0.125,15,6346,100000
1,210,0.125,15,4,100000
2,210,0.125,15,7015,100000
3,210,0.125,15,4385,100000
4,210,0.125,15,6353,100000
1,240,0.125,15,1,100000
2,240,0.125,15,7043,100000
3,240,0.125,15,4270,100000
4,240,0.125,15,6366,100000
1,270,0.125,15,2,100000
2,270,0.125,15,7006,100000
3,270,0.125,15,4246,100000
4,270,0.125,15,6352,100000
1,300,0.125,15,4,100000
2,300,0.125,15,6986,100000
3,300,0.125,15,4341,100000
4,300,0.125,16,6403,100000
1,330,0.125,16,3,100000
2,330,0.125,16,6871,100000
3,330,0.125,16,4220,100000
4,330,0.125,16,6263,100000
1,360,0.125,16,1,100000
2,360,0.125,16,7062,100000
3,360,0.125,16,4248,100000
4,360,0.125,16,6185,100000
1,-360,0.16666666666666666,16,4,100000
2,-360,0.16666666666666666,16,7014,100000
3,-360,0.16666666666666666,16,4270,100000
4,-360,0.16666666666666666,16,6199,100000
1,-330,0.16666666666666666,16,3,100000
2,-330,0.16666666666666666,16,7118,100000
3,-330,0.16666666666666666,16,4307,100000
4,-330,0.16666666666666666,16,6414,100000
1,-300,0.16666666666666666,16,5,100000
2,-300,0.16666666666666666,16,7089,100000
3,-300,0.16666666666666666,16,4298,100000
4,-300,0.16666666666666666,16,6300,100000
1,-270,0.16666666666666666,16,1,100000
2,-270,0.16666666666666666,16,6946,100000
3,-270,0.16666666666666666,16,4231,100000
4,-270,0.16666666666666666,16,6276,100000
1,-240,0.16666666666666666,16,4,100000
2,-240,0.16666666666666666,17,6965,100000
3,-240,0.16666666666666666,17,4220,100000
