R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
2,0,-360,0,0,5297,25000
2,0,-360,0.0416666666666666,0,5110,25000
2,0,-360,0.0833333333333333,0,5145,25000
2,0,-360,0.125,0,5200,25000
2,0,-360,0.1666666666666666,0,5227,25000
2,0,-360,0.2083333333333333,0,5136,25000
2,0,-360,0.25,0,5312,25000
2,0,-360,0.2916666666666666,0,5194,25000
2,0,-360,0.3333333333333333,0,5211,25000
2,0,-360,0.375,0,5203,25000
2,0,-360,0.4166666666666666,0,5259,25000
2,0,-360,0.4583333333333333,0,5253,25000
2,0,-360,0.5,0,5154,25000
2,0,-360,0.5416666666666666,0,5224,25000
2,0,-360,0.5833333333333333,0,5167,25000
2,0,-360,0.625,0,5229,25000
2,0,-360,0.6666666666666666,0,5250,25000
2,0,-360,0.7083333333333333,0,5181,25000
2,0,-360,0.75,0,5228,25000
2,0,-360,0.7916666666666666,0,5213,25000
2,0,-360,0.8333333333333333,0,5155,25000
2,0,-360,0.875,0,5333,25000
2,0,-360,0.9166666666666666,0,5184,25000
2,0,-360,0.9583333333333331,0,5113,25000
2,0,-360,1,0,5201,25000
2,0,-330,0,0,5142,25000
2,0,-330,0.0416666666666666,0,5066,25000
2,0,-330,0.0833333333333333,0,5254,25000
2,0,-330,0.125,0,5272,25000
2,0,-330,0.1666666666666666,0,5207,25000
2,0,-330,0.2083333333333333,0,5072,25000
2,0,-330,0.25,0,5160,25000
2,0,-330,0.2916666666666666,0,5229,25000
2,0,-330,0.3333333333333333,0,5336,25000
2,0,-330,0.375,0,5169,25000
2,0,-330,0.4166666666666666,0,5174,25000
2,0,-330,0.4583333333333333,0,5184,25000
2,0,-330,0.5,0,5237,25000
2,0,-330,0.5416666666666666,0,5186,25000
2,0,-330,0.5833333333333333,0,5171,25000
2,0,-330,0.625,0,5242,25000
2,0,-330,0.6666666666666666,0,5264,25000
2,0,-330,0.7083333333333333,0,5310,25000
2,0,-330,0.75,0,5188,25000
2,0,-330,0.7916666666666666,0,5115,25000
2,0,-330,0.8333333333333333,0,5171,25000
2,0,-330,0.875,0,5173,25000
2,0,-330,0.9166666666666666,0,5284,25000
2,0,-330,0.9583333333333331,0,5245,25000
2,0,-330,1,0,5271,25000
2,0,-300,0,0,5193,25000
2,0,-300,0.0416666666666666,0,5188,25000
2,0,-300,0.0833333333333333,0,5296,25000
2,0,-300,0.125,0,5154,25000
2,0,-300,0.1666666666666666,0,5264,25000
2,0,-300,0.2083333333333333,0,5287,25000
2,0,-300,0.25,0,5151,25000
2,0,-300,0.2916666666666666,0,5231,25000
2,0,-300,0.3333333333333333,0,5119,25000
2,0,-300,0.375,0,5330,25000
2,0,-300,0.4166666666666666,0,5234,25000
2,0,-300,0.4583333333333333,0,5093,25000
2,0,-300,0.5,0,5292,25000
2,0,-300,0.5416666666666666,0,5232,25000
2,0,-300,0.5833333333333333,0,5319,25000
2,0,-300,0.625,0,5215,25000
2,0,-300,0.6666666666666666,0,5306,25000
2,0,-300,0.7083333333333333,0,5214,25000
2,0,-300,0.75,0,5191,25000
2,0,-300,0.7916666666666666,0,5345,25000
2,0,-300,0.8333333333333333,0,5207,25000
2,0,-300,0.875,0,5223,25000
2,0,-300,0.9166666666666666,0,5216,25000
2,0,-300,0.9583333333333331,0,5326,25000
2,0,-300,1,0,5243,25000
2,0,-270,0,0,5259,25000
2,0,-270,0.0416666666666666,0,5193,25000
2,0,-270,0.0833333333333333,0,5205,25000
2,0,-270,0.125,0,5129,25000
2,0,-270,0.1666666666666666,0,5097,25000
2,0,-270,0.2083333333333333,0,5250,25000
2,0,-270,0.25,0,5205,25000
2,0,-270,0.2916666666666666,0,5156,25000
2,0,-270,0.3333333333333333,0,5261,25000
2,0,-270,0.375,0,5255,25000
2,0,-270,0.4166666666666666,0,5193,25000
2,0,-270,0.4583333333333333,0,5193,25000
2,0,-270,0.5,0,5214,25000
2,0,-270,0.5416666666666666,0,5194,25000
2,0,-270,0.5833333333333333,0,5217,25000
