virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-270,0.125,13,675,10000
3,-270,0.125,13,347,10000
4,-270,0.125,13,628,10000
1,-240,0.125,13,1,10000
2,-240,0.125,13,778,10000
3,-240,0.125,13,365,10000
4,-240,0.125,13,635,10000
1,-210,0.125,13,0,10000
2,-210,0.125,13,748,10000
3,-210,0.125,13,421,10000
4,-210,0.125,13,626,10000
1,-180,0.125,13,1,10000
2,-180,0.125,13,631,10000
3,-180,0.125,13,511,10000
4,-180,0.125,13,675,10000
1,-150,0.125,13,0,10000
2,-150,0.125,13,758,10000
3,-150,0.125,13,430,10000
4,-150,0.125,13,662,10000
1,-120,0.125,13,0,10000
2,-120,0.125,13,568,10000
3,-120,0.125,13,375,10000
4,-120,0.125,13,591,10000
1,-90,0.125,13,0,10000
2,-90,0.125,13,692,10000
3,-90,0.125,13,454,10000
