virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,270,0.875,85,611,10000
1,300,0.875,85,0,10000
2,300,0.875,85,677,10000
3,300,0.875,85,410,10000
4,300,0.875,85,623,10000
1,330,0.875,85,0,10000
2,330,0.875,85,683,10000
3,330,0.875,85,377,10000
4,330,0.875,85,621,10000
1,360,0.875,85,0,10000
2,360,0.875,85,711,10000
3,360,0.875,85,377,10000
4,360,0.875,85,653,10000
1,-360,0.9166666666666666,85,0,10000
2,-360,0.9166666666666666,85,728,10000
3,-360,0.9166666666666666,85,442,10000
4,-360,0.9166666666666666,85,617,10000
1,-330,0.9166666666666666,85,1,10000
2,-330,0.9166666666666666,85,693,10000
3,-330,0.9166666666666666,85,430,10000
4,-330,0.9166666666666666,85,633,10000
1,-300,0.9166666666666666,85,0,10000
2,-300,0.9166666666666666,85,705,10000
3,-300,0.9166666666666666,85,405,10000
4,-300,0.9166666666666666,85,648,10000
1,-270,0.9166666666666666,85,1,10000
