R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
3,0,-150,0.5416666666666666,0,18,23,50
4,0,-150,0.5416666666666666,0,18,26,50
5,0,-150,0.5416666666666666,0,18,33,50
6,0,-150,0.5416666666666666,0,18,29,50
2,0.25,-150,0.5416666666666666,0.25,18,13,50
3,0.25,-150,0.5416666666666666,0.25,18,21,50
4,0.25,-150,0.5416666666666666,0.25,18,19,50
5,0.25,-150,0.5416666666666666,0.25,18,29,50
6,0.25,-150,0.5416666666666666,0.25,18,28,50
2,0.5,-150,0.5416666666666666,0.5,18,11,50
3,0.5,-150,0.5416666666666666,0.5,18,15,50
4,0.5,-150,0.5416666666666666,0.5,18,21,50
5,0.5,-150,0.5416666666666666,0.5,18,29,50
6,0.5,-150,0.5416666666666666,0.5,18,32,50
2,0.75,-150,0.5416666666666666,0.75,18,8,50
3,0.75,-150,0.5416666666666666,0.75,18,22,50
4,0.75,-150,0.5416666666666666,0.75,18,26,50
5,0.75,-150,0.5416666666666666,0.75,18,22,50
6,0.75,-150,0.5416666666666666,0.75,18,32,50
2,1,-150,0.5416666666666666,1,18,11,50
3,1,-150,0.5416666666666666,1,18,19,50
4,1,-150,0.5416666666666666,1,18,19,50
5,1,-150,0.5416666666666666,1,18,26,50
6,1,-150,0.5416666666666666,1,18,22,50
2,0,-120,0.5416666666666666,0,18,15,50
3,0,-120,0.5416666666666666,0,18,22,50
4,0,-120,0.5416666666666666,0,18,24,50
5,0,-120,0.5416666666666666,0,18,25,50
6,0,-120,0.5416666666666666,0,18,34,50
2,0.25,-120,0.5416666666666666,0.25,18,7,50
3,0.25,-120,0.5416666666666666,0.25,18,15,50
4,0.25,-120,0.5416666666666666,0.25,18,26,50
5,0.25,-120,0.5416666666666666,0.25,18,30,50
6,0.25,-120,0.5416666666666666,0.25,18,35,50
2,0.5,-120,0.5416666666666666,0.5,18,12,50
3,0.5,-120,0.5416666666666666,0.5,18,15,50
4,0.5,-120,0.5416666666666666,0.5,18,24,50
5,0.5,-120,0.5416666666666666,0.5,18,25,50
6,0.5,-120,0.5416666666666666,0.5,18,29,50
2,0.75,-120,0.5416666666666666,0.75,18,8,50
3,0.75,-120,0.5416666666666666,0.75,18,19,50
4,0.75,-120,0.5416666666666666,0.75,18,27,50
5,0.75,-120,0.5416666666666666,0.75,18,31,50
6,0.75,-120,0.5416666666666666,0.75,18,28,50
2,1,-120,0.5416666666666666,1,18,14,50
3,1,-120,0.5416666666666666,1,18,12,50
4,1,-120,0.5416666666666666,1,18,17,50
5,1,-120,0.5416666666666666,1,18,28,50
6,1,-120,0.5416666666666666,1,18,26,50
2,0,-90,0.5416666666666666,0,18,11,50
3,0,-90,0.5416666666666666,0,18,26,50
4,0,-90,0.5416666666666666,0,18,30,50
5,0,-90,0.5416666666666666,0,18,20,50
6,0,-90,0.5416666666666666,0,18,37,50
2,0.25,-90,0.5416666666666666,0.25,18,12,50
3,0.25,-90,0.5416666666666666,0.25,18,16,50
4,0.25,-90,0.5416666666666666,0.25,18,26,50
5,0.25,-90,0.5416666666666666,0.25,18,27,50
6,0.25,-90,0.5416666666666666,0.25,18,33,50
2,0.5,-90,0.5416666666666666,0.5,18,10,50
3,0.5,-90,0.5416666666666666,0.5,18,16,50
4,0.5,-90,0.5416666666666666,0.5,18,26,50
5,0.5,-90,0.5416666666666666,0.5,18,27,50
6,0.5,-90,0.5416666666666666,0.5,18,30,50
2,0.75,-90,0.5416666666666666,0.75,18,7,50
3,0.75,-90,0.5416666666666666,0.75,18,17,50
4,0.75,-90,0.5416666666666666,0.75,18,27,50
5,0.75,-90,0.5416666666666666,0.75,18,20,50
6,0.75,-90,0.5416666666666666,0.75,18,28,50
2,1,-90,0.5416666666666666,1,18,4,50
3,1,-90,0.5416666666666666,1,18,16,50
4,1,-90,0.5416666666666666,1,18,16,50
5,1,-90,0.5416666666666666,1,18,24,50
6,1,-90,0.5416666666666666,1,18,26,50
2,0,-60,0.5416666666666666,0,18,9,50
3,0,-60,0.5416666666666666,0,18,15,50
4,0,-60,0.5416666666666666,0,18,26,50
5,0,-60,0.5416666666666666,0,18,30,50
6,0,-60,0.5416666666666666,0,18,30,50
2,0.25,-60,0.5416666666666666,0.25,18,16,50
3,0.25,-60,0.5416666666666666,0.25,18,20,50
4,0.25,-60,0.5416666666666666,0.25,18,25,50
5,0.25,-60,0.5416666666666666,0.25,18,31,50
6,0.25,-60,0.5416666666666666,0.25,18,29,50
2,0.5,-60,0.5416666666666666,0.5,18,10,50
3,0.5,-60,0.5416666666666666,0.5,18,12,50
4,0.5,-60,0.5416666666666666,0.5,18,18,50
5,0.5,-60,0.5416666666666666,0.5,18,26,50
