R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
6,0,-270,0.125,0,5,196,333
2,0.25,-270,0.125,0.25,5,43,333
3,0.25,-270,0.125,0.25,5,110,333
4,0.25,-270,0.125,0.25,5,131,333
5,0.25,-270,0.125,0.25,5,166,333
6,0.25,-270,0.125,0.25,5,196,333
2,0.5,-270,0.125,0.5,5,20,333
3,0.5,-270,0.125,0.5,5,63,333
4,0.5,-270,0.125,0.5,5,114,333
5,0.5,-270,0.125,0.5,5,138,333
6,0.5,-270,0.125,0.5,5,162,333
2,0.75,-270,0.125,0.75,5,4,333
3,0.75,-270,0.125,0.75,5,38,333
4,0.75,-270,0.125,0.75,5,63,333
5,0.75,-270,0.125,0.75,5,96,333
6,0.75,-270,0.125,0.75,5,130,333
2,1,-270,0.125,1,5,0,333
3,1,-270,0.125,1,5,0,333
4,1,-270,0.125,1,5,8,333
5,1,-270,0.125,1,5,29,333
6,1,-270,0.125,1,5,60,333
2,0,-240,0.125,0,5,60,333
3,0,-240,0.125,0,5,128,333
4,0,-240,0.125,0,5,163,333
5,0,-240,0.125,0,5,182,333
6,0,-240,0.125,0,5,192,333
2,0.25,-240,0.125,0.25,5,48,333
3,0.25,-240,0.125,0.25,5,96,333
4,0.25,-240,0.125,0.25,5,149,333
5,0.25,-240,0.125,0.25,5,157,333
6,0.25,-240,0.125,0.25,5,198,333
2,0.5,-240,0.125,0.5,5,21,333
3,0.5,-240,0.125,0.5,5,79,333
4,0.5,-240,0.125,0.5,5,118,333
5,0.5,-240,0.125,0.5,5,141,333
6,0.5,-240,0.125,0.5,5,168,333
2,0.75,-240,0.125,0.75,5,5,333
3,0.75,-240,0.125,0.75,5,32,333
4,0.75,-240,0.125,0.75,5,64,333
5,0.75,-240,0.125,0.75,5,103,333
6,0.75,-240,0.125,0.75,5,130,333
2,1,-240,0.125,1,5,0,333
3,1,-240,0.125,1,5,0,333
4,1,-240,0.125,1,5,5,333
5,1,-240,0.125,1,5,28,333
6,1,-240,0.125,1,5,67,333
2,0,-210,0.125,0,5,71,333
3,0,-210,0.125,0,5,130,333
4,0,-210,0.125,0,5,176,333
5,0,-210,0.125,0,5,170,333
6,0,-210,0.125,0,5,212,333
2,0.25,-210,0.125,0.25,5,49,333
3,0.25,-210,0.125,0.25,5,103,333
4,0.25,-210,0.125,0.25,5,138,333
5,0.25,-210,0.125,0.25,5,173,333
6,0.25,-210,0.125,0.25,5,170,333
2,0.5,-210,0.125,0.5,5,20,333
3,0.5,-210,0.125,0.5,5,64,333
4,0.5,-210,0.125,0.5,5,111,333
5,0.5,-210,0.125,0.5,5,145,333
6,0.5,-210,0.125,0.5,5,165,333
2,0.75,-210,0.125,0.75,5,2,333
3,0.75,-210,0.125,0.75,5,33,333
4,0.75,-210,0.125,0.75,5,74,333
5,0.75,-210,0.125,0.75,5,102,333
6,0.75,-210,0.125,0.75,5,113,333
2,1,-210,0.125,1,5,0,333
3,1,-210,0.125,1,5,0,333
4,1,-210,0.125,1,5,6,333
5,1,-210,0.125,1,5,30,333
6,1,-210,0.125,1,5,46,333
2,0,-180,0.125,0,5,72,333
3,0,-180,0.125,0,5,138,333
4,0,-180,0.125,0,5,153,333
5,0,-180,0.125,0,5,194,333
6,0,-180,0.125,0,5,204,333
2,0.25,-180,0.125,0.25,5,53,333
3,0.25,-180,0.125,0.25,5,109,333
4,0.25,-180,0.125,0.25,5,152,333
5,0.25,-180,0.125,0.25,5,172,333
6,0.25,-180,0.125,0.25,5,190,333
2,0.5,-180,0.125,0.5,5,22,333
3,0.5,-180,0.125,0.5,5,85,333
4,0.5,-180,0.125,0.5,5,121,333
