R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
2,0.0,-360,0.0,0.05,1016,5000
6,0.25,-360,0.0,0.05,2849,5000
6,1.0,-270,0.0,0.05,1087,5000
6,1.0,60,0.0416666666666666,0.05,1083,5000
6,1.0,360,0.625,0.05,1125,5000
2,0.0,-360,0.6666666666666666,0.05,1048,5000
3,0.0,-360,0.6666666666666666,0.05,1906,5000
4,0.0,-360,0.6666666666666666,0.05,2440,5000
5,0.0,-360,0.6666666666666666,0.05,2765,5000
6,0.0,-360,0.6666666666666666,0.05,3093,5000
2,0.25,-360,0.6666666666666666,0.05,709,5000
3,0.25,-360,0.6666666666666666,0.05,1605,5000
4,0.25,-360,0.6666666666666666,0.05,2178,5000
5,0.25,-360,0.6666666666666666,0.05,2631,5000
2,0.0,90,0.0416666666666666,0.05,1030,5000
6,0.25,-360,0.6666666666666666,0.05,2875,5000
2,0.5,-360,0.6666666666666666,0.05,349,5000
3,0.5,-360,0.6666666666666666,0.05,1127,5000
4,0.5,-360,0.6666666666666666,0.05,1837,5000
5,0.5,-360,0.6666666666666666,0.05,2221,5000
6,0.5,-360,0.6666666666666666,0.05,2552,5000
2,0.75,-360,0.6666666666666666,0.05,39,5000
3,0.75,-360,0.6666666666666666,0.05,490,5000
4,0.75,-360,0.6666666666666666,0.05,1183,5000
5,0.75,-360,0.6666666666666666,0.05,1680,5000
3,0.0,90,0.0416666666666666,0.05,1935,5000
6,0.75,-360,0.6666666666666666,0.05,2060,5000
2,1.0,-360,0.6666666666666666,0.05,0,5000
3,1.0,-360,0.6666666666666666,0.05,8,5000
4,1.0,-360,0.6666666666666666,0.05,183,5000
5,1.0,-360,0.6666666666666666,0.05,599,5000
6,1.0,-360,0.6666666666666666,0.05,1071,5000
2,0.0,-330,0.6666666666666666,0.05,1028,5000
3,0.0,-330,0.6666666666666666,0.05,1945,5000
4,0.0,-330,0.6666666666666666,0.05,2413,5000
5,0.0,-330,0.6666666666666666,0.05,2800,5000
4,0.0,90,0.0416666666666666,0.05,2464,5000
6,0.0,-330,0.6666666666666666,0.05,3079,5000
2,0.25,-330,0.6666666666666666,0.05,738,5000
3,0.25,-330,0.6666666666666666,0.05,1623,5000
4,0.25,-330,0.6666666666666666,0.05,2248,5000
5,0.25,-330,0.6666666666666666,0.05,2558,5000
6,0.25,-330,0.6666666666666666,0.05,2845,5000
2,0.5,-330,0.6666666666666666,0.05,323,5000
3,0.5,-330,0.6666666666666666,0.05,1122,5000
4,0.5,-330,0.6666666666666666,0.05,1790,5000
5,0.5,-330,0.6666666666666666,0.05,2229,5000
5,0.0,90,0.0416666666666666,0.05,2735,5000
6,0.5,-330,0.6666666666666666,0.05,2528,5000
2,0.75,-330,0.6666666666666666,0.05,33,5000
3,0.75,-330,0.6666666666666666,0.05,553,5000
4,0.75,-330,0.6666666666666666,0.05,1151,5000
5,0.75,-330,0.6666666666666666,0.05,1645,5000
6,0.75,-330,0.6666666666666666,0.05,2092,5000
2,1.0,-330,0.6666666666666666,0.05,0,5000
3,1.0,-330,0.6666666666666666,0.05,5,5000
4,1.0,-330,0.6666666666666666,0.05,195,5000
5,1.0,-330,0.6666666666666666,0.05,645,5000
6,0.0,90,0.0416666666666666,0.05,3050,5000
6,1.0,-330,0.6666666666666666,0.05,1128,5000
2,0.0,-300,0.6666666666666666,0.05,1048,5000
3,0.0,-300,0.6666666666666666,0.05,1956,5000
4,0.0,-300,0.6666666666666666,0.05,2383,5000
5,0.0,-300,0.6666666666666666,0.05,2795,5000
6,0.0,-300,0.6666666666666666,0.05,3069,5000
2,0.25,-300,0.6666666666666666,0.05,700,5000
3,0.25,-300,0.6666666666666666,0.05,1542,5000
4,0.25,-300,0.6666666666666666,0.05,2176,5000
5,0.25,-300,0.6666666666666666,0.05,2579,5000
2,0.25,90,0.0416666666666666,0.05,681,5000
6,0.25,-300,0.6666666666666666,0.05,2843,5000
2,0.5,-300,0.6666666666666666,0.05,345,5000
3,0.5,-300,0.6666666666666666,0.05,1092,5000
4,0.5,-300,0.6666666666666666,0.05,1755,5000
5,0.5,-300,0.6666666666666666,0.05,2267,5000
6,0.5,-300,0.6666666666666666,0.05,2576,5000
2,0.75,-300,0.6666666666666666,0.05,40,5000
3,0.75,-300,0.6666666666666666,0.05,500,5000
4,0.75,-300,0.6666666666666666,0.05,1175,5000
5,0.75,-300,0.6666666666666666,0.05,1631,5000
3,0.25,90,0.0416666666666666,0.05,1648,5000
6,0.75,-300,0.6666666666666666,0.05,2129,5000
2,1.0,-300,0.6666666666666666,0.05,0,5000
3,1.0,-300,0.6666666666666666,0.05,2,5000
4,1.0,-300,0.6666666666666666,0.05,193,5000
5,1.0,-300,0.6666666666666666,0.05,637,5000
6,1.0,-300,0.6666666666666666,0.05,1062,5000
2,0.0,-270,0.6666666666666666,0.05,993,5000
3,0.0,-270,0.6666666666666666,0.05,1892,5000
4,0.0,-270,0.6666666666666666,0.05,2399,5000
5,0.0,-270,0.6666666666666666,0.05,2764,5000
4,0.25,90,0.0416666666666666,0.05,2231,5000
6,0.0,-270,0.6666666666666666,0.05,3100,5000
2,0.25,-270,0.6666666666666666,0.05,741,5000
3,0.25,-270,0.6666666666666666,0.05,1589,5000
4,0.25,-270,0.6666666666666666,0.05,2229,5000
5,0.25,-270,0.6666666666666666,0.05,2569,5000
6,0.25,-270,0.6666666666666666,0.05,2827,5000
2,0.5,-270,0.6666666666666666,0.05,389,5000
3,0.5,-270,0.6666666666666666,0.05,1097,5000
4,0.5,-270,0.6666666666666666,0.05,1809,5000
5,0.5,-270,0.6666666666666666,0.05,2256,5000
5,0.25,90,0.0416666666666666,0.05,2525,5000
6,0.5,-270,0.6666666666666666,0.05,2568,5000
2,0.75,-270,0.6666666666666666,0.05,27,5000
3,0.75,-270,0.6666666666666666,0.05,568,5000
4,0.75,-270,0.6666666666666666,0.05,1166,5000
5,0.75,-270,0.6666666666666666,0.05,1707,5000
6,0.75,-270,0.6666666666666666,0.05,2105,5000
2,1.0,-270,0.6666666666666666,0.05,0,5000
3,1.0,-270,0.6666666666666666,0.05,3,5000
4,1.0,-270,0.6666666666666666,0.05,180,5000
5,1.0,-270,0.6666666666666666,0.05,647,5000
2,0.0,-240,0.0,0.05,1035,5000
6,0.25,90,0.0416666666666666,0.05,2856,5000
6,1.0,-270,0.6666666666666666,0.05,1104,5000
2,0.0,-240,0.6666666666666666,0.05,1063,5000
3,0.0,-240,0.6666666666666666,0.05,1952,5000
4,0.0,-240,0.6666666666666666,0.05,2422,5000
5,0.0,-240,0.6666666666666666,0.05,2642,5000
6,0.0,-240,0.6666666666666666,0.05,3038,5000
2,0.25,-240,0.6666666666666666,0.05,740,5000
3,0.25,-240,0.6666666666666666,0.05,1587,5000
4,0.25,-240,0.6666666666666666,0.05,2214,5000
5,0.25,-240,0.6666666666666666,0.05,2616,5000
2,0.5,90,0.0416666666666666,0.05,366,5000
6,0.25,-240,0.6666666666666666,0.05,2873,5000
2,0.5,-240,0.6666666666666666,0.05,345,5000
3,0.5,-240,0.6666666666666666,0.05,1129,5000
4,0.5,-240,0.6666666666666666,0.05,1759,5000
5,0.5,-240,0.6666666666666666,0.05,2223,5000
6,0.5,-240,0.6666666666666666,0.05,2521,5000
2,0.75,-240,0.6666666666666666,0.05,37,5000
3,0.75,-240,0.6666666666666666,0.05,540,5000
4,0.75,-240,0.6666666666666666,0.05,1163,5000
5,0.75,-240,0.6666666666666666,0.05,1735,5000
3,0.5,90,0.0416666666666666,0.05,1113,5000
6,0.75,-240,0.6666666666666666,0.05,2062,5000
2,1.0,-240,0.6666666666666666,0.05,0,5000
3,1.0,-240,0.6666666666666666,0.05,5,5000
4,1.0,-240,0.6666666666666666,0.05,195,5000
5,1.0,-240,0.6666666666666666,0.05,679,5000
6,1.0,-240,0.6666666666666666,0.05,1154,5000
2,0.0,-210,0.6666666666666666,0.05,1049,5000
3,0.0,-210,0.6666666666666666,0.05,1949,5000
4,0.0,-210,0.6666666666666666,0.05,2396,5000
5,0.0,-210,0.6666666666666666,0.05,2728,5000
4,0.5,90,0.0416666666666666,0.05,1684,5000
6,0.0,-210,0.6666666666666666,0.05,3030,5000
2,0.25,-210,0.6666666666666666,0.05,741,5000
3,0.25,-210,0.6666666666666666,0.05,1581,5000
4,0.25,-210,0.6666666666666666,0.05,2203,5000
